,term,selected,coef
3475,mitchell,True,-23.79541729970649
3476,unpublished,True,-23.83698139901276
3477,imported,True,-23.88409368263011
3478,careless,True,-23.93616946762238
3479,strange,True,-24.341358926985308
3480,condemnation,True,-24.43852897343026
3481,destroy,True,-24.758018940537724
3482,addressed,True,-24.841502449474078
3483,strong,True,-24.870087559502497
3484,hunted,True,-24.9718940008424
3485,presumably,True,-25.169095596485942
3486,delayed,True,-25.64993145601856
3487,estimated,True,-25.762584573031585
3488,unnecessary,True,-26.711653979321568
3489,reckless,True,-27.019084096926928
3490,painter,True,-27.38461757837833
3491,questioned,True,-27.407193401967188
3492,uncommon,True,-27.964446800456063
3493,cloth,True,-28.068724311800114
3494,salon,True,-28.373122162671958
3495,enhance,True,-31.65955902218465
3496,establishing,True,-31.780361663799596
3497,capt,True,-31.822793552919755
3498,discussion,True,-32.602021045882296
3499,appreciation,True,-34.41473242321494
